index,alpha,beta,gamma,u,v,RMSE
159,1.0,1000.0,1000.0,1000.0,0.001,0.326010525226593
160,1.0,1000.0,1000.0,1000.0,1.0,0.26521939039230347
161,1.0,1000.0,1000.0,1000.0,1000.0,0.3339492380619049
162,1000.0,0.001,0.001,0.001,0.001,0.3500472903251648
163,1000.0,0.001,0.001,0.001,1.0,0.3776753842830658
164,1000.0,0.001,0.001,0.001,1000.0,0.36866962909698486
165,1000.0,0.001,0.001,1.0,0.001,0.36426836252212524
166,1000.0,0.001,0.001,1.0,1.0,0.2750849425792694
167,1000.0,0.001,0.001,1.0,1000.0,0.33939310908317566
168,1000.0,0.001,0.001,1000.0,0.001,0.3993372321128845
169,1000.0,0.001,0.001,1000.0,1.0,0.39029616117477417
170,1000.0,0.001,0.001,1000.0,1000.0,0.38879090547561646
171,1000.0,0.001,1.0,0.001,0.001,0.36097249388694763
172,1000.0,0.001,1.0,0.001,1.0,0.33724895119667053
173,1000.0,0.001,1.0,0.001,1000.0,0.2707650065422058
174,1000.0,0.001,1.0,1.0,0.001,0.3269103169441223
175,1000.0,0.001,1.0,1.0,1.0,0.36579933762550354
176,1000.0,0.001,1.0,1.0,1000.0,0.34862998127937317
177,1000.0,0.001,1.0,1000.0,0.001,0.3399199843406677
178,1000.0,0.001,1.0,1000.0,1.0,0.33048903942108154
179,1000.0,0.001,1.0,1000.0,1000.0,0.4075615108013153
180,1000.0,0.001,1000.0,0.001,0.001,0.32106146216392517
181,1000.0,0.001,1000.0,0.001,1.0,0.36020582914352417
182,1000.0,0.001,1000.0,0.001,1000.0,0.37952521443367004
183,1000.0,0.001,1000.0,1.0,0.001,0.3555939495563507
184,1000.0,0.001,1000.0,1.0,1.0,0.271539568901062
185,1000.0,0.001,1000.0,1.0,1000.0,0.3491576910018921
186,1000.0,0.001,1000.0,1000.0,0.001,0.3563251793384552
187,1000.0,0.001,1000.0,1000.0,1.0,0.4084060490131378
188,1000.0,0.001,1000.0,1000.0,1000.0,0.356411874294281
189,1000.0,1.0,0.001,0.001,0.001,0.3384624421596527
190,1000.0,1.0,0.001,0.001,1.0,0.4229270815849304
191,1000.0,1.0,0.001,0.001,1000.0,0.33821213245391846
192,1000.0,1.0,0.001,1.0,0.001,0.3150704503059387
193,1000.0,1.0,0.001,1.0,1.0,0.2993297576904297
194,1000.0,1.0,0.001,1.0,1000.0,0.3525238633155823
195,1000.0,1.0,0.001,1000.0,0.001,0.31177181005477905
196,1000.0,1.0,0.001,1000.0,1.0,0.3609278202056885
197,1000.0,1.0,0.001,1000.0,1000.0,0.3542279899120331
198,1000.0,1.0,1.0,0.001,0.001,0.4141826927661896
199,1000.0,1.0,1.0,0.001,1.0,0.3646687865257263
200,1000.0,1.0,1.0,0.001,1000.0,0.3829105496406555
201,1000.0,1.0,1.0,1.0,0.001,0.3150961101055145
202,1000.0,1.0,1.0,1.0,1.0,0.3163412809371948
203,1000.0,1.0,1.0,1.0,1000.0,0.31069380044937134
204,1000.0,1.0,1.0,1000.0,0.001,0.2911664843559265
205,1000.0,1.0,1.0,1000.0,1.0,0.2920988202095032
206,1000.0,1.0,1.0,1000.0,1000.0,0.3315011262893677
207,1000.0,1.0,1000.0,0.001,0.001,0.37583422660827637
208,1000.0,1.0,1000.0,0.001,1.0,0.39393967390060425
209,1000.0,1.0,1000.0,0.001,1000.0,0.38850605487823486
210,1000.0,1.0,1000.0,1.0,0.001,0.36173737049102783
211,1000.0,1.0,1000.0,1.0,1.0,0.3466794192790985
212,1000.0,1.0,1000.0,1.0,1000.0,0.27765288949012756
213,1000.0,1.0,1000.0,1000.0,0.001,0.3050750195980072
214,1000.0,1.0,1000.0,1000.0,1.0,0.3542042672634125
215,1000.0,1.0,1000.0,1000.0,1000.0,0.34532299637794495
216,1000.0,1000.0,0.001,0.001,0.001,0.37818679213523865
217,1000.0,1000.0,0.001,0.001,1.0,0.41329729557037354
218,1000.0,1000.0,0.001,0.001,1000.0,0.30779796838760376
219,1000.0,1000.0,0.001,1.0,0.001,0.3857257664203644
220,1000.0,1000.0,0.001,1.0,1.0,0.28405171632766724
221,1000.0,1000.0,0.001,1.0,1000.0,0.32448235154151917
222,1000.0,1000.0,0.001,1000.0,0.001,0.3169167935848236
223,1000.0,1000.0,0.001,1000.0,1.0,0.36591994762420654
224,1000.0,1000.0,0.001,1000.0,1000.0,0.267269104719162
225,1000.0,1000.0,1.0,0.001,0.001,0.29987832903862
226,1000.0,1000.0,1.0,0.001,1.0,0.30642208456993103
227,1000.0,1000.0,1.0,0.001,1000.0,0.3339811861515045
228,1000.0,1000.0,1.0,1.0,0.001,0.2869909405708313
229,1000.0,1000.0,1.0,1.0,1.0,0.3893685042858124
230,1000.0,1000.0,1.0,1.0,1000.0,0.33651861548423767
231,1000.0,1000.0,1.0,1000.0,0.001,0.3088991641998291
232,1000.0,1000.0,1.0,1000.0,1.0,0.2513866424560547
233,1000.0,1000.0,1.0,1000.0,1000.0,0.35883426666259766
234,1000.0,1000.0,1000.0,0.001,0.001,0.3233315944671631
235,1000.0,1000.0,1000.0,0.001,1.0,0.326064795255661
236,1000.0,1000.0,1000.0,0.001,1000.0,0.3795449435710907
237,1000.0,1000.0,1000.0,1.0,0.001,0.32968685030937195
238,1000.0,1000.0,1000.0,1.0,1.0,0.3830126225948334
239,1000.0,1000.0,1000.0,1.0,1000.0,0.3215967118740082
240,1000.0,1000.0,1000.0,1000.0,0.001,0.34116798639297485
241,1000.0,1000.0,1000.0,1000.0,1.0,0.37080127000808716
242,1000.0,1000.0,1000.0,1000.0,1000.0,0.3221818804740906
